PDBchain   len  method   resol   rfac  freerfac
1IX9A      205  XRAY       0.9  0.107  0.127
6KLZA      260  XRAY       0.9  0.109  0.121
6FMCA      158  XRAY       0.9   0.11  0.132
4NPDA       58  XRAY       0.9  0.113   0.13
1VYRA      364  XRAY       0.9  0.116   0.14
5X9LA      207  XRAY       0.9  0.117  0.129
1OEWA      329  XRAY       0.9  0.121  0.147
3VORA      182  XRAY       0.9  0.121   0.13
3G21A       77  XRAY       0.9  0.124  0.142
4CE8A      114  XRAY       0.9  0.126  0.141
5GJIA      108  XRAY       0.9  0.127  0.145
3ZR8X       65  XRAY       0.9  0.127  0.149
7A2PA       61  XRAY       0.9  0.132   0.15
4NSVA      275  XRAY       0.9  0.139  0.158
4EA9A      220  XRAY       0.9  0.139  0.155
6XVMA       79  XRAY       0.9  0.139  0.149
2XU3A      220  XRAY       0.9  0.142  0.155
6LK1A       95  XRAY       0.9  0.145  0.171
1J0PA      108  XRAY      0.91  0.108  0.136
2Y78A      133  XRAY      0.91   0.11  0.116
2PVBA      108  XRAY      0.91   0.11  0.132
5A71A      317  XRAY      0.91  0.113  0.132
3QM9A      146  XRAY      0.91  0.121  0.133
5IG6A      115  XRAY      0.91  0.126  0.143
3G46A      146  XRAY      0.91  0.129  0.155
5BR4A      391  XRAY      0.91   0.13  0.147
3X0IA      170  XRAY      0.91  0.136  NA   
7P1QA      386  XRAY      0.91  0.141  0.156
5MK9A      379  XRAY     0.919  0.109  0.122
4HNOA      288  XRAY     0.919  0.126  0.139
1IQZA       81  XRAY      0.92  0.097  0.113
6EQEA      298  XRAY      0.92  0.101   0.11
3EA6A      219  XRAY      0.92  0.101  0.122
6HSAA      145  XRAY      0.92  0.102   0.12
2FVYA      309  XRAY      0.92   0.11   0.13
4G78A      152  XRAY      0.92  0.121  0.155
6CNWA      116  XRAY      0.92  0.126  0.139
7A2XA       60  XRAY      0.92  0.131  0.148
6UWWA      173  XRAY      0.92  0.132  0.145
1L9LA       74  XRAY      0.92  0.138   0.19
3WGXA      113  XRAY      0.92  0.141  0.158
2G6FX       59  XRAY      0.92  0.185  0.199
6TJ8A      669  XRAY     0.921  0.095  0.106
7MBOA      238  XRAY     0.924  0.162  0.168
6ZSYA       52  XRAY     0.926   0.13  0.157
1OK0A       74  XRAY      0.93  0.103   0.13
6RI6A      498  XRAY      0.93  0.106  0.117
1VBWA       68  XRAY      0.93  0.114  0.143
3QL9A      129  XRAY      0.93  0.123  0.131
3M5QA      357  XRAY      0.93  0.124  0.134
4R2XA      252  XRAY      0.93   0.15  0.164
5QU8A       87  XRAY      0.93  0.151  0.182
1KWFA      363  XRAY      0.94  0.094  0.113
2BT9A       90  XRAY      0.94  0.098   0.12
2FDNA       55  XRAY      0.94    0.1  NA   
3QR7A      115  XRAY      0.94  0.102  0.112
2UU8A      237  XRAY      0.94   0.12  0.142
2GUDA      122  XRAY      0.94  0.136  0.156
4QB3A      127  XRAY      0.94  0.137  0.155
7A31A       60  XRAY      0.94  0.156  0.167
6Q6TA      113  XRAY      0.94  0.158  0.166
4MZCA      111  XRAY     0.949  0.104  0.111
4A02A      166  XRAY      0.95  0.096  0.116
6TWTA      243  XRAY      0.95  0.105   0.12
2XOMA      152  XRAY      0.95  0.105   0.12
2XJPA      258  XRAY      0.95  0.106  0.122
4UNUA      111  XRAY      0.95  0.108   0.13
5U3AA      496  XRAY      0.95   0.11   0.12
7A3HA      303  XRAY      0.95   0.11   0.13
5JSKB      507  XRAY      0.95  0.111   0.12
5JSKA      317  XRAY      0.95  0.111   0.12
1MJ5A      302  XRAY      0.95  0.112  0.141
4WKAA      377  XRAY      0.95  0.113  0.123
3VN3A      223  XRAY      0.95  0.113  0.129
3G9XA      299  XRAY      0.95  0.115  0.137
4KQPA      232  XRAY      0.95  0.115   0.12
5O2XA      248  XRAY      0.95  0.116  0.127
3S6EA      114  XRAY      0.95   0.12  0.132
4XDXA       70  XRAY      0.95  0.122  0.136
3DK9A      478  XRAY      0.95  0.123  0.152
1ZZKA       82  XRAY      0.95  0.124  0.127
3VLAA      413  XRAY      0.95  0.128  0.146
5II6A      112  XRAY      0.95  0.128  0.145
4G9SA      187  XRAY      0.95  0.129  0.136
4G9SB      111  XRAY      0.95  0.129  0.136
4E3YA      245  XRAY      0.95  0.131  0.145
5EWOA      228  XRAY      0.95  0.132  0.142
3DHAA      254  XRAY      0.95  0.133  0.169
6J93A      196  XRAY      0.95  0.134  0.153
1RTQA      299  XRAY      0.95  0.135  0.151
3NEDA      242  XRAY      0.95  0.135  0.157
7DC4A      133  XRAY      0.95  0.136  0.148
4EGUA      119  XRAY      0.95  0.137  0.152
1KTHA       58  XRAY      0.95  0.139  0.167
1NKIA      135  XRAY      0.95  0.148  0.176
5AQ0A       82  XRAY      0.95  0.154  0.175
6J64A      128  XRAY      0.95  0.166  0.175
3F1LA      252  XRAY      0.95  0.171  0.192
4GA2A      150  XRAY      0.95  0.178  0.199
6IIPA       88  XRAY     0.951  0.197  0.205
2RH2A       62  XRAY      0.96  0.104  0.117
1UFYA      122  XRAY      0.96   0.11  0.127
3ZZPA       77  XRAY      0.96  0.113  0.137
1K5CA      335  XRAY      0.96  0.114   0.14
3PUCA       99  XRAY      0.96  0.116  0.135
5DP2A      342  XRAY      0.96  0.117  0.131
3AGNA      114  XRAY      0.96  0.118  0.127
5F82A      287  XRAY      0.96  0.119  0.134
5JUGA      168  XRAY      0.96  0.123  0.141
2XODA      119  XRAY      0.96  0.124  0.151
2E4TA      519  XRAY      0.96  0.133  0.146
3KFFA      162  XRAY      0.96  0.136  0.164
6JPTA      122  XRAY      0.96  0.136  0.146
5NLDA      139  XRAY      0.96  0.137  0.149
3E4GA      176  XRAY      0.96  0.144  0.164
4R5RA       68  XRAY      0.96  0.149  0.168
1AHOA       64  XRAY      0.96  0.158  NA   
1U2HA       99  XRAY      0.96  0.161  0.172
4M9VC       64  XRAY     0.969  0.131  0.143
1G4IA      123  XRAY      0.97  0.094  NA   
4KXVA      637  XRAY      0.97  0.096  0.114
6MU9A      276  XRAY      0.97  0.102  0.111
5A8CA      326  XRAY      0.97  0.104  0.124
1XG0C      177  XRAY      0.97  0.107  0.126
1XG0A       76  XRAY      0.97  0.107  0.126
2BF6A      449  XRAY      0.97  0.113  0.133
2XFRA      535  XRAY      0.97  0.114   0.13
1BYIA      224  XRAY      0.97  0.116  NA   
1C75A       71  XRAY      0.97  0.116  NA   
4ACJA      167  XRAY      0.97  0.119  0.138
6X7JA      182  XRAY      0.97  0.122  0.137
5DZEA      207  XRAY      0.97  0.123  0.137
5TIFA      185  XRAY      0.97  0.123  0.137
1F94A       63  XRAY      0.97  0.123  0.177
3EO6A      106  XRAY      0.97  0.124  0.143
1ZUUA       58  XRAY      0.97  0.124  0.142
4Q4GX      472  XRAY      0.97  0.126  0.175
3VIIA      487  XRAY      0.97  0.128  0.145
1M1QA       91  XRAY      0.97  0.135  0.151
4OO4A      105  XRAY      0.97  0.137  0.165
4PNOA       72  XRAY      0.97  0.144  0.164
3GOEA       82  XRAY      0.97  0.145  0.169
1XMKA       79  XRAY      0.97  0.145  0.183
4MTUA      144  XRAY      0.97  0.146  0.159
1TG0A       68  XRAY      0.97  0.146  0.193
6YP6A      218  XRAY      0.97  0.151  0.172
1ZLBA      122  XRAY      0.97  0.171  0.196
6FJNA      184  XRAY      0.97  0.183  0.195
3AKSA      190  XRAY      0.97  0.186  0.192
6RYGA      128  XRAY     0.974  0.135  0.139
6Q7DA      306  XRAY     0.978  0.186  0.207
4AWTA      365  XRAY      0.98  0.095  0.106
3V1AA       48  XRAY      0.98  0.095  0.113
2V8TA      302  XRAY      0.98  0.101  0.117
4HGUA       40  XRAY      0.98  0.106  0.124
3D1PA      139  XRAY      0.98  0.109  0.124
6TN1AAA    497  XRAY      0.98  0.112  0.128
5SY4A      199  XRAY      0.98  0.114  0.127
3JU4A      670  XRAY      0.98  0.116  0.133
1GQVA      135  XRAY      0.98  0.116  0.144
1IXHA      321  XRAY      0.98  0.117  0.141
1V0LA      313  XRAY      0.98  0.119  0.137
3FSAA      125  XRAY      0.98  0.121  0.135
3PSMA       47  XRAY      0.98  0.125  0.164
6K9JA      105  XRAY      0.98  0.131  0.153
4EKFA      204  XRAY      0.98  0.135  0.168
4WPKA      238  XRAY      0.98  0.137  0.154
4A7UA      153  XRAY      0.98  0.139  0.153
2PNEA       81  XRAY      0.98  0.141  0.164
1UNQA      125  XRAY      0.98  0.151  0.179
2ZPMA       91  XRAY      0.98  0.151   0.18
3JUDA      153  XRAY      0.98  0.155   0.18
1K4IA      233  XRAY      0.98  0.178  0.196
1TQGA      105  XRAY      0.98   0.18  0.211
6Q4GA      306  XRAY      0.98  0.191  0.211
5SBQA      152  XRAY     0.988  0.159  0.171
4IAUA      163  XRAY      0.99  0.107  0.129
1MWQA      101  XRAY      0.99  0.109  0.132
3Q46A      178  XRAY      0.99  0.111  0.123
5CKLA      188  XRAY      0.99  0.113  0.125
2FWHA      134  XRAY      0.99  0.113  0.146
5O45A      129  XRAY      0.99  0.114  0.137
7AM9A      260  XRAY      0.99  0.115  0.139
7KOMA      138  XRAY      0.99   0.12  0.141
5OTNA      159  XRAY      0.99  0.121  0.133
1UG6A      431  XRAY      0.99  0.122   0.13
6RK0A      225  XRAY      0.99  0.124  0.138
4AQOA       92  XRAY      0.99  0.125   0.15
6RVUA      231  XRAY      0.99  0.126  0.147
6G1IA      223  XRAY      0.99  0.131  0.147
7A2WA       61  XRAY      0.99  0.132  0.151
6U66A      142  XRAY      0.99  0.166   0.19
5II8A      138  XRAY      0.99  0.167  0.191
4RJ2A      237  XRAY      0.99  0.176  0.189
7B1SA      595  XRAY     0.992  0.113  0.128
7B1SB      467  XRAY     0.992  0.113  0.128
7B1SC      266  XRAY     0.992  0.113  0.128
4NDSA       94  XRAY     0.997   0.11  0.124
4X5PA      160  XRAY     0.997  0.124  0.139
5JDKA      137  XRAY     0.998   0.17  0.179
6YK4A      264  XRAY     0.999  0.107   0.12
2GKGA      127  XRAY       1.0  0.092  0.123
7ADRB      475  XRAY       1.0  0.102  0.117
7ADRA      474  XRAY       1.0  0.102  0.117
1JFBA      404  XRAY       1.0  0.102  0.139
7ADRC      113  XRAY       1.0  0.102  0.117
2CWSA      237  XRAY       1.0  0.103  0.134
1EB6A      177  XRAY       1.0  0.104  0.126
3H31A       74  XRAY       1.0  0.104  0.144
3AJ4A      112  XRAY       1.0  0.106  0.126
5TVYA      188  XRAY       1.0  0.108  0.121
1O7JA      327  XRAY       1.0   0.11  0.128
3FYMA      130  XRAY       1.0   0.11   0.14
6IFPA      124  XRAY       1.0   0.11  0.144
1GA6A      372  XRAY       1.0  0.115  0.131
4N1IA      334  XRAY       1.0  0.115  0.139
4BJ0A      176  XRAY       1.0  0.115  0.129
6PWSA      134  XRAY       1.0  0.115  0.128
2CNQA      306  XRAY       1.0  0.116   0.13
5R43B      131  XRAY       1.0  0.116  0.132
5R43C       97  XRAY       1.0  0.116  0.132
1LNIA       96  XRAY       1.0  0.116  NA   
6IGGA      171  XRAY       1.0  0.117  0.136
4ZGFA      141  XRAY       1.0  0.117  0.137
4DPBX       99  XRAY       1.0  0.118  0.136
1GKMA      507  XRAY       1.0  0.119  0.135
2R31A      239  XRAY       1.0  0.119  0.142
5IQNA      132  XRAY       1.0  0.119  0.146
2GGCA      263  XRAY       1.0   0.12  0.133
1TT8A      164  XRAY       1.0   0.12  0.153
1Q6ZA      528  XRAY       1.0  0.122   0.14
2RBKA      261  XRAY       1.0  0.123  0.148
5IDBA      142  XRAY       1.0  0.123  0.144
2PNDA      119  XRAY       1.0  0.123  0.142
4YMYA      174  XRAY       1.0  0.124  0.136
2JHFA      374  XRAY       1.0  0.125  0.152
3NOQA      231  XRAY       1.0  0.125  0.146
5XBUA      190  XRAY       1.0  0.126  0.144
4GNRA      353  XRAY       1.0  0.127  0.147
5CTMA      233  XRAY       1.0  0.127  0.138
3U7QB      523  XRAY       1.0  0.129  0.146
3U7QA      492  XRAY       1.0  0.129  0.146
5ZX8A      187  XRAY       1.0  0.129  0.143
2QSKA       95  XRAY       1.0  0.129  0.147
4YNHA       60  XRAY       1.0  0.129  0.149
2A6ZA      222  XRAY       1.0   0.13  0.163
3VRCA      131  XRAY       1.0   0.13  0.153
4CNNA      252  XRAY       1.0  0.132  0.149
1OD3A      168  XRAY       1.0  0.132  0.149
3RWNA      161  XRAY       1.0  0.133  0.142
1LKKA      105  XRAY       1.0  0.133  NA   
5SV5A      105  XRAY       1.0  0.133  0.148
1MN8A      100  XRAY       1.0  0.133  0.169
5E1NA      148  XRAY       1.0  0.135   0.15
6GZ8A      138  XRAY       1.0  0.135  0.154
2I4AA      107  XRAY       1.0  0.135  0.158
3L8WA      296  XRAY       1.0  0.136  0.144
2VHAA      287  XRAY       1.0  0.136  0.169
4AXOA      151  XRAY       1.0  0.136  0.147
2X46A      144  XRAY       1.0  0.136  0.157
6FVIA      151  XRAY       1.0  0.137  0.152
2P5KA       64  XRAY       1.0  0.139   0.16
5D66A      198  XRAY       1.0   0.14  0.168
2QXIA      224  XRAY       1.0  0.141  0.159
6EUWA      163  XRAY       1.0  0.141  0.164
1NQJA      119  XRAY       1.0  0.142  0.168
5DGJA      188  XRAY       1.0  0.143  0.154
5JIGA      127  XRAY       1.0  0.143  0.167
2CE2X      166  XRAY       1.0  0.145  0.163
3RQ9A       85  XRAY       1.0  0.147  0.176
3WH1A      206  XRAY       1.0  0.148  0.155
2H3LA      103  XRAY       1.0  0.149  0.169
7K9CA       98  XRAY       1.0  0.149  0.163
1OAIA       59  XRAY       1.0  0.149  0.159
6NFRA      122  XRAY       1.0   0.15  0.172
4K8YA      223  XRAY       1.0  0.151   0.17
4JP6A      122  XRAY       1.0  0.153  0.181
6I3BA      252  XRAY       1.0  0.154  0.175
1C7KA      132  XRAY       1.0  0.154  0.178
6UKFX      258  XRAY       1.0  0.155  0.166
1ZK4A      251  XRAY       1.0  0.159  0.176
3A4RA       79  XRAY       1.0  0.159  0.184
2QCPX       80  XRAY       1.0   0.16  0.186
3SOJA      115  XRAY       1.0  0.161  0.181
4TXRA      163  XRAY       1.0  0.164   0.18
4TXRC       58  XRAY       1.0  0.164   0.18
3JYOA      283  XRAY       1.0  0.165  0.194
1Y55X      126  XRAY       1.0  0.167  0.177
6L8GB       88  XRAY       1.0  0.168  0.176
3BWHA      245  XRAY       1.0  0.172  0.179
3A02A       60  XRAY       1.0  0.173  0.184
2V1MA      169  XRAY       1.0  0.176  0.184
3CCDA       85  XRAY       1.0  0.192  0.205
7B5WA       98  XRAY       1.0    0.2  0.226
3E7RL       40  XRAY       1.0  0.203  0.224
3ZUCA      153  XRAY     1.001  0.125  0.136
4YPOA      333  XRAY     1.001  0.154  0.163
3TEUA       98  XRAY     1.002  0.112  0.139
3ZIYA      468  XRAY      1.01   0.11  0.122
6R33A      508  XRAY      1.01  0.118  0.136
3SK2A      132  XRAY      1.01  0.127  0.146
7JJAA      181  XRAY      1.01   0.13  0.139
4BPFA       86  XRAY      1.01   0.13  0.156
6Z5YA      180  XRAY      1.01  0.144  0.164
7A3MA       64  XRAY      1.01   0.15  0.181
3NBCA      148  XRAY      1.01  0.159  0.172
5E1YA       95  XRAY     1.011  0.118  0.134
5JH8A      317  XRAY     1.018  0.131  0.148
6Y4EA      136  XRAY      1.02  0.108  0.128
6N59A      574  XRAY      1.02  0.114  0.132
6QAZA      128  XRAY      1.02  0.123   0.15
1QTWA      285  XRAY      1.02  0.124  0.148
1I27A       73  XRAY      1.02  0.127  0.146
1CXQA      162  XRAY      1.02  0.129  0.157
1RW1A      114  XRAY      1.02  0.129  0.139
5MDUA      157  XRAY      1.02  0.135  0.152
1CC8A       73  XRAY      1.02  0.141  0.172
6I03A      222  XRAY      1.02  0.153  0.175
4YSIA      143  XRAY      1.02  0.154   0.16
7A2SA       62  XRAY      1.02   0.16  0.175
5AOTA      106  XRAY      1.02  0.165   0.17
3NVSA      450  XRAY     1.021  0.115  0.138
5YDEA      112  XRAY     1.023   0.12  0.139
7NIYA      240  XRAY      1.03  0.106  0.118
1KQPA      271  XRAY      1.03  0.108  0.135
4UHCA      282  XRAY      1.03   0.11  0.129
5M17A      385  XRAY      1.03  0.117   0.13
5Y0MA      355  XRAY      1.03  0.117  0.134
3W07A      252  XRAY      1.03  0.118  0.139
6EF7A      127  XRAY      1.03  0.126  0.141
3L5LA      363  XRAY      1.03   0.13  0.148
4UDXX      636  XRAY      1.03  0.132  0.157
7KP2A      138  XRAY      1.03  0.132  0.148
4EIEA       87  XRAY      1.03  0.137  0.163
6GGPA      212  XRAY      1.03  0.138  0.171
3B64A      112  XRAY      1.03  0.139  0.157
5OAZA       63  XRAY      1.03  0.145  0.163
6Q3PB       50  XRAY      1.03  0.145  0.174
6Q3PC       49  XRAY      1.03  0.145  0.174
3ROFA      158  XRAY      1.03   0.15  0.169
1Y93A      159  XRAY      1.03  0.157  0.168
4XPXA      130  XRAY      1.03  0.158  0.166
1XQOA      256  XRAY      1.03  0.159  0.183
5D5YA       50  XRAY      1.03  0.166  0.199
5ONKA      214  XRAY      1.03  0.167  0.187
3VZ9B      106  XRAY      1.03  0.193  0.207
3VZ9D       73  XRAY      1.03  0.193  0.207
6DCMA       85  XRAY     1.031  0.142  0.157
6BQAA      102  XRAY     1.031  0.163  0.171
3QZRA      187  XRAY     1.039   0.16  0.164
6N9HA       80  XRAY     1.039  0.197  0.214
3A72A      355  XRAY      1.04  0.104  0.125
2OB3A      330  XRAY      1.04  0.105  0.127
4RV5A      395  XRAY      1.04  0.113  0.131
5FBFA      267  XRAY      1.04  0.113  0.135
5TNVA      326  XRAY      1.04  0.116  0.137
6FM7A      382  XRAY      1.04  0.117  0.136
5IMAA      160  XRAY      1.04  0.117  0.135
2ANXA      146  XRAY      1.04  0.117   0.15
3I94A      248  XRAY      1.04  0.125  0.148
5AE0A      221  XRAY      1.04  0.128  0.156
2HEUA      401  XRAY      1.04  0.131  0.157
3OV5A       85  XRAY      1.04  0.131  0.152
5P9VA      221  XRAY      1.04  0.134  0.162
1QXYA      252  XRAY      1.04  0.144  0.165
6MM2A      104  XRAY      1.04  0.145  0.163
2R16A      182  XRAY      1.04  0.148  0.165
2BOGX      286  XRAY      1.04   0.15  0.165
3CUZA      532  XRAY      1.04  0.153  0.166
1I2TA       61  XRAY      1.04  0.154  0.171
4B9GA      161  XRAY      1.04  0.156  0.167
2GJ3A      120  XRAY      1.04  0.158  0.186
1TJXA      159  XRAY      1.04  0.167  0.184
3ZQXA      146  XRAY      1.04  0.167  0.171
1D5TA      433  XRAY      1.04  0.173  0.209
6S07A      303  XRAY      1.04  0.173   0.18
7BGGA      245  XRAY      1.04  0.175  0.181
6KGIB       86  XRAY      1.04   0.19  0.202
4AOHA      124  XRAY     1.041   0.17  0.188
6ENPA      128  XRAY     1.042  0.123  0.145
6BEVA      135  XRAY     1.043   0.13  0.144
6QJLA      104  XRAY     1.043  0.153  0.174
4GJZA      235  XRAY     1.048  0.147  0.163
3C70A      257  XRAY      1.05  0.102  NA   
1LWBA      122  XRAY      1.05  0.103  NA   
6RY0A      443  XRAY      1.05  0.107  0.123
5WGIA      364  XRAY      1.05  0.107  0.126
1PSRA      100  XRAY      1.05  0.109  0.141
6F9OA      309  XRAY      1.05  0.111  0.132
4QYTA      194  XRAY      1.05  0.111  0.132
1YQSA      349  XRAY      1.05  0.114  0.136
6FPOL      582  XRAY      1.05  0.116  0.134
6FPOS      335  XRAY      1.05  0.116  0.134
2W15A      202  XRAY      1.05  0.117  0.143
4CO8A      135  XRAY      1.05  0.117  0.132
6TVEP      546  XRAY      1.05  0.118  0.133
2OIZA      361  XRAY      1.05  0.118  0.141
7E2SA      233  XRAY      1.05  0.118  0.134
5NWPA      203  XRAY      1.05  0.118  0.143
2OIZD      135  XRAY      1.05  0.118  0.141
7D8DA      232  XRAY      1.05  0.119  0.136
2V3IA      434  XRAY      1.05   0.12   0.14
6NNRA      264  XRAY      1.05  0.121  0.132
3BEUA      224  XRAY      1.05  0.121  0.146
1FSGA      233  XRAY      1.05  0.122  0.154
4X2RA      250  XRAY      1.05  0.123  0.141
2AU7A      175  XRAY      1.05  0.123  0.153
5SVYA       50  XRAY      1.05  0.123  0.146
5FI3A      357  XRAY      1.05  0.124  0.143
3LO8A      311  XRAY      1.05  0.125  0.155
2C71A      216  XRAY      1.05  0.125  0.142
1R2QA      170  XRAY      1.05  0.125  0.169
2XWVA      312  XRAY      1.05  0.126   0.15
2HBWA      235  XRAY      1.05  0.126  0.149
7MPDA      161  XRAY      1.05  0.126  0.138
3GMXA      154  XRAY      1.05  0.126  0.154
2V9BA       46  XRAY      1.05  0.128   0.17
4MNCA      332  XRAY      1.05  0.129  0.144
4YAAA      306  XRAY      1.05  0.129   0.14
2VZPA      127  XRAY      1.05  0.129  0.149
5B8DA      107  XRAY      1.05  0.129  0.146
4PLZA      322  XRAY      1.05   0.13  0.146
3IQUA      236  XRAY      1.05   0.13  0.151
1KMVA      186  XRAY      1.05   0.13  0.181
4AFFA      116  XRAY      1.05   0.13   0.14
6SIDA       90  XRAY      1.05   0.13  0.151
2X5YA      173  XRAY      1.05  0.131  0.149
4W7LA      449  XRAY      1.05  0.132   0.15
3R2QA      202  XRAY      1.05  0.132  0.153
4B5OA      200  XRAY      1.05  0.132  0.157
5FAFA      119  XRAY      1.05  0.132  0.168
2RK3A      197  XRAY      1.05  0.133   0.15
1LQTA      456  XRAY      1.05  0.134  0.153
2D5MA      190  XRAY      1.05  0.135  0.162
5CTVA      188  XRAY      1.05  0.135  0.153
3EY6A      121  XRAY      1.05  0.136  0.161
5QI0A      183  XRAY      1.05  0.137  0.157
3WMVA      153  XRAY      1.05  0.137  0.155
3VUPA      351  XRAY      1.05  0.138  0.157
4ANNA      215  XRAY      1.05  0.138  0.181
1M2DA      110  XRAY      1.05  0.138  0.162
6WQYA      385  XRAY      1.05  0.139  0.145
3PB6X      330  XRAY      1.05  0.139  0.158
5I86A      118  XRAY      1.05   0.14  0.161
6S1HA      361  XRAY      1.05  0.141  0.154
4W7WA      332  XRAY      1.05  0.141   0.16
1EUWA      152  XRAY      1.05  0.141  0.164
3R41A      306  XRAY      1.05  0.143  0.169
1JCLA      260  XRAY      1.05  0.143  0.169
2VZCA      131  XRAY      1.05  0.144  0.159
6C1XA      131  XRAY      1.05  0.144  0.172
6TCCA      136  XRAY      1.05  0.146  0.163
2CZQA      205  XRAY      1.05  0.148  0.157
6ELVA      145  XRAY      1.05  0.148  0.161
3R87A      135  XRAY      1.05  0.149  0.165
7ESKA      443  XRAY      1.05  0.151  0.171
2AXWA      134  XRAY      1.05  0.151  0.168
4OUSA      143  XRAY      1.05  0.152  0.161
5NYKA      122  XRAY      1.05  0.155  0.162
6FJ7A       80  XRAY      1.05  0.155  0.195
1M9ZA      111  XRAY      1.05  0.156  0.166
2HINA       71  XRAY      1.05   0.16  0.173
5U4HA      421  XRAY      1.05  0.162  0.176
